V1,V2,V3,V4,V5,V6,V7,bestlam,rmse
1,2,3,4,7,9,12,264.648489467079,500.837264069924
1,2,3,4,7,9,13,317.47807457063,480.048006032031
1,2,3,4,7,9,14,279.673087212078,200.486231863105
1,2,3,4,7,9,15,288.878987217206,384.415792486584
1,2,3,4,7,10,11,681.125401369028,497.972137774796
1,2,3,4,7,10,12,703.0025954908,499.952763393703
1,2,3,4,7,10,13,658.65584034043,495.620822807113
1,2,3,4,7,10,14,17.5516810328794,768.866236593093
1,2,3,4,7,10,15,641.147533178423,389.062757362699
1,2,3,4,7,11,12,12.214631368215,471.545699014959
1,2,3,4,7,11,13,731.075178305666,507.866370219569
1,2,3,4,7,11,14,16.6618560904315,296.690374993116
1,2,3,4,7,11,15,709.355727805043,398.103038379094
1,2,3,4,7,12,13,493.383922223028,508.318321158111
1,2,3,4,7,12,14,16.4567820404325,240.299757969667
1,2,3,4,7,12,15,261.529687305432,374.520159214834
1,2,3,4,7,13,14,740.700253274058,212.186042582133
1,2,3,4,7,13,15,14.9734252814471,544.379272388898
1,2,3,4,7,14,15,700.177644479018,172.943138535955
1,2,3,4,8,9,10,6.14446214746898,984.645159714724
1,2,3,4,8,9,11,284.453925938695,858.5980126698
1,2,3,4,8,9,12,36.9473882037518,980.426160011053
1,2,3,4,8,9,13,260.955476814747,809.074530338796
1,2,3,4,8,9,14,8.07557388289485,1082.06546539804
1,2,3,4,8,9,15,259.115429092689,946.152742542499
1,2,3,4,8,10,11,319.289897669295,881.958806266249
1,2,3,4,8,10,12,312.695672655585,906.772318087272
1,2,3,4,8,10,13,263.344382177242,825.960468217313
1,2,3,4,8,10,14,465.309914823331,827.759476522492
1,2,3,4,8,10,15,286.470582288848,921.24991735863
1,2,3,4,8,11,12,302.820078782815,910.268077357731
1,2,3,4,8,11,13,317.872065861356,838.358288004506
1,2,3,4,8,11,14,420.07933658665,869.270749205105
1,2,3,4,8,11,15,333.480603961296,899.489618650759
1,2,3,4,8,12,13,292.485576725539,883.008144543389
1,2,3,4,8,12,14,413.528123414477,889.26043247737
1,2,3,4,8,12,15,283.30904022271,968.136710801492
1,2,3,4,8,13,14,353.333528674574,835.387719599897
