V1,V2,V3,V4,V5,bestlam,rmse
12,15,18,19,20,17.8348329547978,42.1643868220489
3,5,11,12,19,20.6111935203224,175.935783721786
6,12,16,17,19,14.5641299836474,292.185449708709
3,8,9,19,20,64.0854538626494,52.7457197541275
1,2,8,15,17,11.4939993445116,32.7536108388425
1,2,9,13,19,58.2569004646286,44.4322922037136
6,10,11,16,19,19.4985894625119,244.178597638951
1,6,7,9,16,0.625763853518186,317.959513078758
2,13,14,19,21,72.8081400924644,75.7342145937506
2,13,14,18,21,72.9848943932472,76.7814919414953
4,6,7,18,20,3.57047932723872,5208.33741963579
4,6,7,15,18,6.80929065465955,337.066978991115
1,7,9,14,16,5.41281439884349,65.8331669427893
11,16,17,18,20,49.3702966711954,225.643501930022
2,3,6,9,17,8.22474037040272,613.459078547934
3,4,14,15,16,68.1051403257,31.3773618727776
4,10,17,18,21,13.8083557712521,126.016229696839
2,15,16,20,21,0.797779790688006,93.963023468343
6,12,14,15,20,46.0024864522856,6460.94651520258
2,5,12,13,21,0.736967864618767,160.515280341777
2,6,9,18,19,1.15238408757568,586.662800047027
6,7,12,14,17,1.04657617971404,378.269898204913
1,3,10,11,18,45.6075533873015,299.344152077285
7,12,17,20,21,23.0514264836102,106.512054803107
8,11,17,18,21,43.0256077058925,180.74632260481
4,8,10,16,19,10.427750474393,132.127540820529
3,8,9,13,19,20.9559509533933,68.3203404711474
1,9,11,18,19,48.8804366602864,166.894637786418
6,9,11,12,19,18.2703666430702,396.389040310549
2,8,12,13,19,69.3964791797042,24.835431295209
3,9,10,17,20,67.8809026464705,73.9462945361207
1,8,14,15,19,5.79136831859297,33.4676616773627
2,6,10,11,21,13.3557639579573,166.007178120605
3,9,10,14,17,11.3896615146531,139.630547917605
10,11,12,15,16,48.8510394943208,172.516328663596
4,6,10,13,15,0.712267300190314,3287.95864307208
6,10,11,12,15,17.6225683007263,278.328118693862
4,5,6,17,19,3.20036862259797,432.930259950839
7,9,12,14,18,62.8945844258442,56.7487354169991
1,4,5,8,16,2.07994090864961,63.2242733066332
1,4,5,6,11,14.7603514024527,334.253745909214
1,6,8,11,16,6.09055926411018,212.272477289381
3,4,8,13,20,64.9784172950174,56.7986713459625
3,6,9,11,18,8.50717066498388,445.756479142737
2,14,15,20,21,6.60584196783852,163.387376298175
5,6,12,13,21,0.712625417831771,229.976020406075
5,7,11,14,19,52.9527562765236,179.857663339964
12,16,17,18,20,21.8480945527937,74.7504943282664
1,2,6,10,17,3.72503147990227,459.357523700224
4,5,7,8,14,65.05866875599,31.8859398780209
2,5,7,12,20,8.26946050480911,61.6175727483477
2,8,10,11,18,49.6316562041024,155.856034588922
1,6,10,17,18,4.00505135328626,380.398246114191
3,10,13,16,21,4.94055336389411,5794.9702579563
2,4,11,18,20,26.0877193352561,239.893797681105
3,11,16,18,21,46.4639444450406,2938.70511348529
1,10,15,17,18,8.23303029954193,121.345551205273
3,4,11,13,19,25.2925574478866,202.287036645616
4,6,11,17,20,12.7891674591103,298.985780558122
5,6,10,12,19,52.9303800525965,160.453278655408
15,16,17,20,21,11.9991389721575,109.063133374082
2,3,10,11,17,44.3117961092807,189.135860816745
2,9,14,15,19,68.7038068540182,25.1948176833102
3,8,9,10,19,62.9546627965297,65.1664833513437
8,9,13,15,19,12.9688321883051,77.4098766837202
7,8,13,15,16,2.62992919913176,74.5177117313775
6,12,14,18,20,35.1453063406057,5330.49066315606
14,15,19,20,21,2.23636195370614,287.923170595682
2,3,5,12,13,73.2070707294606,26.0354223904207
3,6,11,14,17,7.30419024917882,418.465657414987
2,3,9,11,13,59.674337558091,162.16547073692
