V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
5,6,9,10,11,12,15,17,19,20,43.3669815272861,174.959359713195,1
3,4,7,10,14,16,17,18,19,20,60.6375233080808,145.174200587081,1
4,7,9,12,13,14,16,17,18,19,76.8948988069119,124.121365992942,1
2,3,6,7,9,10,14,15,18,19,25.2977232122913,159.169730236849,4
3,4,12,13,14,15,16,17,19,20,91.8709295606472,121.810605468993,1
1,2,4,6,7,9,14,15,16,21,58.9487191805374,129.310650926066,1
1,3,4,6,11,14,17,18,19,20,3.24752294374943,128.331270917467,5
1,4,6,7,11,12,13,14,16,18,18.9754486202692,148.842757904461,2
2,5,7,10,12,14,15,17,19,21,30.8414683554015,149.835183318932,4
3,7,10,11,12,13,16,17,18,21,37.4112030244007,130.290576763795,0
2,8,9,10,12,14,15,17,19,20,38.7993290539376,247.214610065795,2
1,2,3,4,5,7,11,13,14,21,54.0211704144627,129.774794896741,1
3,5,6,7,12,14,15,16,17,21,0.160804875523025,260.086346738861,8
1,2,6,7,8,9,11,12,20,21,14.420957326413,163.653561814591,2
3,6,7,8,9,11,13,14,18,20,6.34166622094468,132.973811630106,4
1,4,5,7,8,15,17,18,20,21,62.5673971584926,92.8101413527535,1
2,5,7,8,10,13,14,15,19,20,14.2355487167379,191.552917867117,4
3,6,7,8,10,11,14,16,18,19,9.29790910308784,142.475771233836,3
2,6,7,8,11,13,15,17,19,21,13.4883907823997,153.143103993242,3
1,2,6,9,10,15,18,19,20,21,69.3543974839964,141.489230700391,1
2,4,5,8,10,11,13,19,20,21,39.7940364744915,121.97465952094,2
2,3,4,6,8,10,15,17,18,20,17.9207274946312,120.981597022084,5
1,4,5,7,8,11,12,13,15,16,43.0403443142361,138.770483670835,1
1,3,8,9,10,12,13,14,17,18,17.3042627113079,137.307450121717,4
4,5,8,9,11,12,14,15,19,20,60.6987379369428,108.443278964712,0
2,3,7,8,9,10,12,13,17,20,72.6068751487925,95.2729007232944,0
3,5,6,10,12,15,16,17,19,20,69.7913845909213,121.807729138397,1
3,7,8,9,10,14,15,17,18,20,69.4910729102963,75.2524047646801,0
1,3,7,8,11,12,14,16,18,21,21.3197903992889,110.00644229057,3
1,2,6,7,9,10,13,17,18,19,58.5515777641386,122.109539344718,0
2,3,6,7,8,9,10,15,16,19,2.71414263429986,228.986060734105,5
5,8,9,10,12,15,17,18,20,21,73.905515120925,70.0432338776611,0
1,3,4,5,10,12,13,14,15,18,44.6377592934637,120.401487600555,4
1,2,6,9,10,13,15,16,18,21,23.6634112270391,149.278396057684,3
1,6,7,8,9,12,14,16,18,20,47.3539755905615,119.694732471324,2
2,3,4,5,7,10,13,17,20,21,63.319138177957,98.6755731020295,1
1,2,7,8,11,13,15,16,18,19,42.7964425792233,116.738549745951,1
3,4,5,6,7,8,9,11,15,21,28.6143333947208,165.598755422047,1
5,7,10,11,13,14,15,16,19,20,60.6559351301894,118.559788032717,1
2,4,6,8,9,10,13,15,20,21,27.0812348616362,137.54986201918,4
1,2,6,7,10,11,13,17,18,21,26.2988180771819,178.070340351446,0
2,8,9,10,11,13,16,18,20,21,33.4255566846893,124.906879119869,2
4,5,9,11,12,14,15,16,18,21,39.3378312651228,114.909945956817,1
2,3,4,7,9,10,13,17,19,20,73.2697302935708,98.4037623959404,0
1,3,6,8,9,11,14,15,18,21,0.218338622185173,147.102005554557,7
1,2,3,4,5,6,9,16,20,21,30.1114562460777,120.824297945015,4
2,3,6,9,13,14,15,18,19,21,3.96352260370042,204.867529033146,6
4,7,9,10,11,13,14,16,18,20,49.2113507594053,122.984519416491,0
2,3,7,9,10,11,16,17,19,21,49.495712483606,127.14363658052,0
3,4,6,7,11,13,14,17,20,21,13.8675124833074,151.713890424601,4
2,3,6,7,9,11,16,19,20,21,5.37070293626737,152.894367827997,5
5,6,8,9,11,14,17,18,19,21,21.8442497915484,169.14011340134,1
1,2,5,6,7,8,11,14,15,18,20.3970628531077,144.069667736703,2
2,3,6,7,10,11,12,14,18,20,0.502429642178222,183.647802764502,7
1,2,3,8,9,12,13,16,20,21,42.1553076144612,94.7383841549438,3
1,2,4,7,10,11,16,17,18,19,45.2605415500059,124.675896728281,0
4,6,8,9,11,12,13,17,19,20,30.9111974395803,154.656490444189,2
4,7,9,10,12,13,14,16,17,20,11.7687263154797,151.919741529062,5
1,4,5,6,7,8,9,11,17,20,36.1616385623995,157.539409140346,1
1,2,3,5,9,10,14,15,17,19,14.8064657291835,209.428572385069,4
2,3,5,6,10,12,14,15,18,20,28.9013176249344,123.320156173043,4
1,2,3,5,8,9,14,15,19,20,6.25272245309166,219.113551585676,6
1,3,7,9,10,11,14,17,19,20,43.8521574648751,118.44998552122,0
2,4,6,8,9,15,16,17,18,20,10.4946310621168,187.526389819084,5
2,3,5,6,9,13,16,17,18,20,14.8097111384867,124.94297946374,5
1,2,3,7,9,10,14,15,18,19,22.4491635697873,171.388956337378,4
1,6,7,9,10,11,13,14,15,21,14.8557623510912,188.083265179031,2
4,5,6,7,11,16,17,19,20,21,9.21467652783299,163.581378275046,3
1,3,11,13,14,15,17,19,20,21,55.2626148938852,121.447131360036,1
1,3,4,5,6,8,13,15,16,19,44.9683800047638,136.56111118174,1
1,2,5,7,8,11,16,17,18,19,44.3536903021643,112.06859860118,1
1,3,4,5,10,11,12,16,18,19,51.2311286208688,120.542749664208,0
5,7,8,9,10,12,14,15,18,21,82.2488132186425,74.1321573343969,0
3,4,6,10,13,15,18,19,20,21,55.6967726428238,136.526980656691,1
1,3,7,8,9,12,14,19,20,21,21.9339731907783,116.942562272869,5
1,2,3,4,5,15,17,18,19,20,19.8962526700159,202.329659728549,5
4,5,6,10,11,12,13,17,18,19,17.7071114964279,155.925037139808,2
1,4,8,9,14,15,16,17,18,19,74.2664415186259,105.031327708243,0
3,5,6,8,9,12,14,16,19,20,24.0272329851115,127.263939660319,4
1,6,9,12,13,15,16,17,20,21,68.4044402669694,128.592181837676,0
1,5,7,9,12,13,16,18,20,21,78.5896549600568,93.4399518245605,1
2,4,7,8,12,14,16,18,19,21,69.6413693312657,103.591649372251,1
3,5,6,11,13,14,15,16,18,20,10.6836053009633,143.27088201706,3
3,4,6,8,9,12,17,18,19,20,11.7268994364394,161.727234319415,4
1,2,4,10,13,16,17,18,20,21,29.4429569734697,192.544888692943,3
6,7,8,11,12,14,15,16,18,21,17.5773020568299,158.696784748994,1
2,5,6,9,12,13,14,17,20,21,27.5551250416568,114.363779421344,4
3,4,5,6,10,12,14,16,18,21,65.2174696868124,131.713571390471,1
3,7,8,10,11,13,14,17,20,21,1.4818204993935,330.900464376631,7
3,5,8,10,11,15,16,17,20,21,45.8575202351684,125.684472609198,1
1,3,4,6,7,10,12,14,19,20,4.8037183936366,151.683352831005,5
1,3,4,5,10,12,14,17,20,21,8.9974599689647,129.545008946283,5
1,3,4,5,12,13,14,17,18,20,85.7398563639147,112.600677517349,1
3,9,10,11,12,15,16,17,19,20,58.0607556228031,117.384369686586,0
4,6,8,9,10,12,15,17,18,20,64.4780869825049,123.025063683731,1
5,7,8,9,13,14,15,16,17,19,67.7181336824001,114.506105464905,0
1,2,4,5,6,9,10,13,14,15,20.2803658287393,147.916022825657,4
3,4,6,7,8,9,13,14,15,18,23.1387344803095,127.924163962065,5
1,2,3,7,9,10,11,13,15,17,11.9850552332748,154.575005070818,3
1,2,5,9,11,12,15,17,20,21,30.9857230012022,136.891633494214,3
1,3,5,7,8,10,11,13,18,19,48.1717358187176,119.992278825733,1
2,3,5,6,8,12,13,15,17,18,17.1539397441164,127.700221744349,4
2,3,7,9,10,12,15,16,18,21,39.0068346905091,121.228730646405,3
3,4,5,7,9,14,17,18,19,21,79.9382512231349,94.2631355414341,1
2,3,7,9,10,12,15,16,17,21,18.3223005819908,144.783294245564,3
4,6,7,8,10,16,17,18,20,21,39.1470298750411,136.860991320582,1
1,4,8,10,11,12,13,16,17,20,41.4701622878291,127.567685247752,0
1,2,3,9,10,11,15,18,20,21,56.7621736339193,133.422196040563,1
3,4,5,6,7,13,16,18,19,21,64.7985142133667,132.854950538299,0
2,4,5,11,13,14,17,18,20,21,28.2620820263173,135.557710051074,2
1,2,4,5,6,8,10,13,20,21,48.4763817359122,132.535390861993,1
2,3,5,10,12,14,17,18,19,21,19.5114062649322,114.224359661532,6
