V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
1,3,4,6,9,10,12,18,19,21,78.6293258769445,114.019474023139
1,2,3,4,7,8,9,15,16,20,26.4562757924412,Inf
2,7,8,9,11,14,15,17,19,20,69.6553510980516,130.25864531137
1,3,4,7,9,13,16,17,18,19,31.9173856158987,128.254631157691
2,3,6,7,8,11,15,17,19,21,101.654176486751,66.8035728058767
3,4,5,9,12,14,15,16,17,21,12.2144252113506,175.765115157484
1,2,4,8,9,10,11,15,17,19,65.3381794152038,125.147080822234
3,8,10,11,12,13,14,16,18,21,2.19516677325395,226.145604352033
1,2,4,6,8,9,13,14,16,20,56.1107878879022,129.287088539207
3,5,6,9,10,11,15,18,20,21,20.3672942799355,28.1783525309365
2,3,6,8,10,11,14,15,18,20,9.43906663985535,85.6291855360622
1,3,4,8,9,13,14,17,19,20,29.5590904775832,Inf
2,5,7,9,12,13,15,16,17,18,19.6619475569582,Inf
3,4,5,6,10,11,12,14,16,19,26.5940061284914,63.9278981631731
1,2,3,7,9,12,13,14,15,18,29.13080971552,165.993125970296
2,5,7,8,9,12,13,18,19,20,23.1880686063743,258.98103701337
1,2,3,5,7,8,12,14,16,21,54.7023617702962,151.775097056847
2,3,4,5,8,10,11,17,20,21,80.8274078620289,119.859034479671
2,3,5,6,10,15,17,18,19,20,49.7121703684039,134.310112371598
1,3,7,9,10,11,12,15,17,19,81.9499407182978,121.658215897958
4,6,8,9,12,13,15,18,20,21,59.8704309409518,124.564291400853
1,6,7,8,9,11,12,14,17,18,12.2042249583807,86.9870840932987
1,2,7,12,14,15,17,18,19,20,11.4218638539365,Inf
3,5,6,7,8,9,11,12,15,18,45.948810779234,68.6996649836412
7,8,9,10,12,13,14,15,19,20,44.707892479622,152.929163172522
3,4,5,7,8,10,11,14,15,17,88.4109198692961,119.78727673937
1,4,7,10,11,13,15,16,17,18,75.7651681128793,113.393467922509
2,3,4,5,7,9,10,13,16,19,47.3975898579902,134.9739361986
1,2,4,6,7,12,13,15,16,21,61.2601296578288,114.177088433128
8,9,10,12,14,15,16,17,20,21,32.1890745685365,143.102386075943
2,4,5,7,8,10,11,15,17,19,72.3483208208036,123.278453684564
1,2,7,8,9,12,15,17,18,20,33.9345246989511,Inf
1,2,4,6,9,12,16,19,20,21,73.188919877952,117.125430945304
1,2,3,5,10,12,15,17,18,19,37.158577925313,127.613001042683
3,4,6,8,9,12,14,15,16,21,65.9001589048608,116.547651884295
1,3,4,5,7,11,13,17,18,21,75.1841550045566,114.798999676143
2,8,9,10,11,12,13,14,17,18,68.9102062816234,126.027233990126
4,5,7,9,10,12,14,16,19,21,6.68325753958031,203.261540473997
2,3,6,8,10,11,16,17,20,21,58.3714130375181,47.510441736387
2,4,9,10,13,14,16,18,20,21,17.6344266555377,244.195292286746
2,3,5,6,7,8,11,17,19,21,99.1544504021447,66.8527695325745
3,6,7,11,12,13,15,19,20,21,25.5102738321354,66.8064715600617
5,7,8,10,11,12,17,18,20,21,56.3020594005245,118.743489682938
3,7,9,11,12,13,14,15,20,21,83.7681792954561,121.948160336775
3,5,9,10,15,16,17,18,19,21,6.84063071320221,221.107768125391
2,4,6,7,8,11,14,15,17,21,110.760005886927,65.0030233002585
3,4,7,9,10,13,14,15,18,21,37.3659489257179,144.799634865256
3,5,8,9,12,13,17,18,19,20,31.7625872021345,169.771598655566
2,3,5,6,9,12,14,17,19,20,49.2602262052433,125.441336794921
1,4,8,11,12,13,14,17,20,21,67.1819083785921,119.459027892594
2,7,8,9,10,12,15,18,19,21,54.3533173263598,166.999783856661
