V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse
4,6,9,10,11,12,14,16,18,19,21,1881.70549132477,3135.33354098462
4,5,8,9,12,13,16,17,19,20,22,1408.71250493372,2643.8716132668
1,2,4,5,7,8,9,10,14,15,22,1497.44658404724,3261.27304403796
1,2,3,4,5,6,9,12,15,19,22,970.484809597409,3506.53782525324
1,4,7,10,11,12,15,18,19,20,21,776.063857710893,3740.35659930235
4,5,9,10,11,13,14,16,18,19,20,1342.68808400362,2022.99541430053
1,2,4,5,7,10,11,13,19,20,22,492.61270605334,Inf
2,7,8,10,12,16,17,18,19,21,22,1191.7085083461,3266.67990515094
2,4,7,8,9,12,13,15,17,21,22,498.171537919071,Inf
1,3,8,9,10,12,15,16,18,20,21,1516.24920949366,3567.42342302808
3,6,7,9,11,12,14,15,16,18,21,1884.73004966843,2930.28625181184
1,3,4,7,8,9,12,16,18,20,22,1079.90331965302,3123.37664818949
2,5,8,9,10,11,12,13,20,21,22,1013.27146850066,3582.65265244062
1,2,3,5,9,10,11,12,16,18,20,1227.50176666247,2575.46657250986
1,4,9,11,12,13,14,15,17,19,22,1272.2035904452,3923.48765093676
3,4,6,7,9,17,18,19,20,21,22,186.748401988347,5807.1426307485
1,3,4,7,9,11,12,15,16,19,21,1830.20148221314,3472.43737077794
2,3,4,5,7,8,11,13,16,17,21,1151.71029270669,2457.48612734959
1,2,4,5,9,10,14,15,18,20,21,1448.83590797549,3335.91958154651
1,3,6,8,10,13,14,16,17,18,19,1756.8678781153,3062.72313606776
2,3,4,7,12,14,15,19,20,21,22,538.497749153862,Inf
1,2,3,4,8,10,13,14,15,16,19,1348.77716432567,3106.91089610034
1,2,3,4,6,8,9,13,15,17,22,845.430834243608,6974.80612880862
6,7,11,12,13,14,15,17,18,19,22,710.380568477244,3313.8405946364
2,3,6,7,10,11,12,15,17,18,21,1036.96621278423,3242.25199110231
1,3,4,6,7,11,16,18,19,20,21,18.2699885726398,7185.94744917392
1,2,4,8,10,11,12,13,16,18,20,1934.92048815794,3599.91075876533
1,5,7,9,10,13,14,16,19,21,22,1515.89837366201,1926.84245196922
1,2,7,8,9,10,12,13,15,18,19,501.496215537488,Inf
1,2,3,8,13,15,16,18,19,20,21,1316.77083194781,3444.32804063241
2,3,6,8,9,12,13,14,19,20,22,1183.41411307518,3822.10565573344
2,4,7,8,11,14,17,18,20,21,22,1106.62021485083,3586.19305757143
2,3,5,6,11,12,13,14,16,18,22,1345.49261871045,1440.74294424958
4,6,9,10,13,14,15,19,20,21,22,1354.61827342465,3848.13355853166
6,7,9,10,11,12,13,14,15,16,20,1526.95115426186,3022.0727466344
3,4,6,7,9,11,13,16,19,20,22,48.771684586015,8455.66879054799
2,3,4,7,10,14,15,16,17,18,20,753.362386906393,2668.00167696381
1,9,10,11,13,15,16,17,18,21,22,1630.30323782808,3523.32485254041
3,5,6,8,9,13,14,16,17,21,22,1396.43481937716,1628.34600968981
1,2,3,5,7,10,13,17,20,21,22,1987.85027906899,3400.369605579
1,2,3,4,6,11,13,16,18,19,20,1235.12217163372,3263.70026830484
3,5,7,10,11,15,16,17,18,19,21,1318.82205665192,2548.35619356012
1,3,9,10,11,12,13,14,15,18,19,700.77644331079,4722.84653498225
1,5,6,8,10,11,13,15,17,20,22,1758.67595649458,3473.30752164159
2,3,4,5,6,7,8,12,13,14,22,97.2572913399004,Inf
1,3,4,7,9,11,12,17,18,21,22,588.966196953215,4515.05715483328
1,3,4,6,7,8,9,12,18,20,22,43.7831537669372,6901.88277129528
2,3,4,5,7,8,10,16,17,20,21,755.263016365422,2258.25356837287
1,3,5,7,8,9,12,15,16,18,22,1132.2831026799,2435.12413983036
1,4,5,8,10,11,14,15,16,19,22,2160.31512762238,2079.07857054017
1,4,6,9,10,13,14,18,19,20,21,1025.30772137723,3948.55675061529
2,4,7,9,11,12,13,14,18,19,20,788.199032724646,Inf
1,3,4,6,7,10,13,15,18,20,21,650.236532531533,3443.8048623744
2,3,6,7,11,12,13,14,17,19,20,600.012468112431,3576.28849610667
2,3,6,10,11,12,13,15,16,19,20,1502.03465314339,3447.56924504065
2,3,4,5,7,10,11,17,19,20,21,1775.18365019515,3480.87382636046
1,2,5,9,12,13,14,15,18,21,22,1312.61888275244,3213.6443567478
1,3,8,9,10,11,13,16,19,20,22,34.6254106743262,5696.4003242925
4,5,6,7,9,12,13,15,16,17,18,1416.66320579553,2299.72891717113
1,4,5,6,8,10,11,16,20,21,22,1353.14975545296,2474.56561677712
2,3,4,6,7,9,10,12,13,17,22,868.912603155017,4076.56539514663
3,4,5,7,12,13,15,16,18,19,21,1644.57210509324,2573.68781297921
4,6,10,11,12,13,15,16,18,19,20,2102.67667793963,3397.6214796543
