V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,pred1,pred2,pred3,pred4,pred5
1,2,3,5,8,10,14,15,17,20,BY_recon_120,RY_Wet_BFL_Mag_50,RY_recon_120,RY_Wet_BFL_Dur,RY_DS_Mag_90
1,11,12,13,14,15,16,19,20,21,RY_Wet_BFL_Mag_50,RY_Wet_BFL_Dur,RY_DS_Dur_WS,RY_discon_120,RY_DS_Mag_90
1,3,4,5,8,9,10,12,13,21,RY_DS_Dur_WS,RY_Wet_BFL_Dur,RY_Wet_BFL_Mag_50,BY_tot_flow_sepdec,RY_discon_120
1,2,3,7,10,11,12,16,19,20,RY_Wet_BFL_Mag_50,RY_SP_Tim,RY_SP_ROC,BY_min_flow_sepdec,BY_num_days_gt_90_pctile
1,4,5,6,8,11,12,14,18,21,log_RY_tot_flow,RY_Wet_BFL_Mag_50,RY_SP_Tim,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur
3,5,7,12,15,16,17,18,20,21,RY_DS_Mag_90,RY_Wet_BFL_Dur,RY_Wet_BFL_Mag_50,BY_min_flow_sepdec,RY_DS_Dur_WS
1,3,5,7,10,13,17,18,19,20,BY_num_days_gt_90_pctile,BY_tot_flow_sepdec,RY_DS_Mag_90,RY_DS_Dur_WS,RY_Wet_BFL_Dur
2,3,5,7,11,16,17,18,20,21,RY_DS_Mag_90,RY_Wet_BFL_Mag_50,BY_min_flow_sepdec,RY_DS_Dur_WS,RY_SP_ROC
2,4,7,8,9,10,13,16,18,19,RY_DS_Dur_WS,RY_Wet_BFL_Mag_50,RY_SP_ROC,BY_min_flow_sepdec,RY_DS_Mag_90
3,5,6,7,8,9,12,14,16,20,log_BY_tot_flow_sepdec,RY_Wet_Tim,RY_Wet_BFL_Dur,BY_min_flow_sepdec,RY_recon_120
1,5,7,8,11,13,15,16,18,19,RY_Wet_BFL_Mag_50,RY_DS_Dur_WS,RY_min_flow,RY_DS_Mag_90,RY_discon_120
