V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
3,5,6,9,10,11,15,18,20,21,25273.1793827018,293275.133967067
2,3,6,8,10,11,14,15,18,20,165852.787319148,338626.920718131
1,3,4,8,9,13,14,17,19,20,132469.567562422,376518.094477304
2,5,7,9,12,13,15,16,17,18,126091.906127937,374281.80482603
3,4,5,6,10,11,12,14,16,19,268963.964936986,213376.308591426
1,2,3,7,9,12,13,14,15,18,137378.831262569,402226.041910128
2,5,7,8,9,12,13,18,19,20,202726.824034445,349209.006947531
1,2,3,5,7,8,12,14,16,21,22266.4380817983,431207.565906451
2,3,4,5,8,10,11,17,20,21,235487.881270902,237600.725901628
2,3,5,6,10,15,17,18,19,20,236325.664384581,302001.73023779
1,3,7,9,10,11,12,15,17,19,86965.3886671281,423887.552915818
4,6,8,9,12,13,15,18,20,21,119174.977146606,520984.576464812
1,6,7,8,9,11,12,14,17,18,218991.414786417,355843.065230464
1,2,7,12,14,15,17,18,19,20,69132.8924144308,458165.163187491
3,5,6,7,8,9,11,12,15,18,212831.384669666,308537.846046716
7,8,9,10,12,13,14,15,19,20,149086.978753138,352846.630487892
3,4,5,7,8,10,11,14,15,17,7903.44115415566,341925.954582179
1,4,7,10,11,13,15,16,17,18,138671.001122716,357363.566575833
2,3,4,5,7,9,10,13,16,19,221981.129611617,263627.887260528
1,2,4,6,7,12,13,15,16,21,88102.3700862703,513681.219076692
8,9,10,12,14,15,16,17,20,21,114206.296416064,391806.804267686
2,4,5,7,8,10,11,15,17,19,291765.646220274,207074.035797841
1,2,7,8,9,12,15,17,18,20,128691.362611518,423246.580083932
1,2,4,6,9,12,16,19,20,21,94118.6911069253,Inf
1,2,3,5,10,12,15,17,18,19,238496.89278918,290740.177969594
3,4,6,8,9,12,14,15,16,21,70105.799181548,453223.538184761
1,3,4,5,7,11,13,17,18,21,186214.723410546,288084.623440607
2,8,9,10,11,12,13,14,17,18,204555.993235485,Inf
4,5,7,9,10,12,14,16,19,21,27410.9585385702,393535.112373231
2,3,6,8,10,11,16,17,20,21,15101.5204940839,346455.136577777
2,4,9,10,13,14,16,18,20,21,37833.5341087862,576073.494160054
2,3,5,6,7,8,11,17,19,21,203740.475067024,296594.616088303
3,6,7,11,12,13,15,19,20,21,55593.5170758868,562415.080160926
5,7,8,10,11,12,17,18,20,21,207998.957052172,232169.684125256
3,7,9,11,12,13,14,15,20,21,179009.563496545,395136.605122256
3,5,9,10,15,16,17,18,19,21,216928.521299425,294679.139802802
2,4,6,7,8,11,14,15,17,21,125641.044553973,360898.787671713
3,4,7,9,10,13,14,15,18,21,106485.240387053,366008.120296315
3,5,8,9,12,13,17,18,19,20,181146.183966207,366238.837457974
2,3,5,6,9,12,14,17,19,20,107197.626079159,Inf
1,4,8,11,12,13,14,17,20,21,165134.327040422,376695.141516094
2,7,8,9,10,12,15,18,19,21,150328.739189321,383219.173272266
1,3,6,8,9,11,12,16,19,21,178757.874656251,386484.884657967
3,4,5,7,9,10,15,19,20,21,250606.851521594,276605.770523817
1,2,3,9,11,15,16,19,20,21,143047.054401857,Inf
2,3,4,7,9,10,12,13,16,17,113021.778136925,346849.803753209
2,4,6,7,9,11,13,15,16,20,98815.618508902,Inf
1,4,8,9,10,11,12,14,15,18,3227.44837765243,Inf
1,2,4,5,11,13,16,18,19,20,220490.38383249,318604.338442305
2,5,7,8,9,11,13,16,18,21,243748.960358474,305481.747220495
1,4,6,8,9,13,14,15,16,21,133049.890991632,412673.037443248
3,6,7,8,9,12,13,14,16,21,70120.6005617122,503095.515742109
1,2,3,4,5,9,11,14,18,21,120444.912184118,Inf
1,2,3,5,10,11,12,15,16,17,222278.251423379,234531.146160207
1,4,5,6,7,8,12,17,19,20,214790.016569565,284637.752514947
6,7,8,9,12,13,15,16,19,20,77669.5967481496,424259.953202664
1,5,10,11,12,13,16,17,18,21,206704.527942802,247926.680032073
1,4,5,6,7,9,11,14,16,19,243697.359852565,261907.879760433
1,2,4,6,10,13,15,16,18,20,176425.152813842,379072.577565165
5,7,10,12,13,14,15,17,19,20,290809.443072929,254535.680603189
1,6,8,9,11,12,13,17,18,19,148125.361050414,438954.884912372
1,4,8,9,12,14,15,17,18,19,105280.368898688,401825.618090172
3,9,10,14,16,17,18,19,20,21,122554.536067535,400143.415328489
2,6,7,8,11,14,15,18,19,21,199165.357867053,396989.028703031
1,2,6,7,11,12,13,15,17,20,205942.104099046,368488.905358768
1,2,3,7,11,13,14,16,20,21,166293.342716406,389174.451925924
4,5,6,7,11,12,13,14,18,19,252947.662345605,273672.310123133
1,4,6,7,8,9,11,15,17,19,203308.407172702,348737.392947258
1,3,6,10,11,12,16,17,19,21,207589.659546338,329023.845906218
5,6,9,10,11,12,15,17,19,20,168497.054264092,217069.741080652
3,4,7,10,14,16,17,18,19,20,130022.765632587,342482.043806838
4,7,9,12,13,14,16,17,18,19,100029.721299046,355060.933957685
2,3,6,7,9,10,14,15,18,19,145458.628730876,354287.603048915
3,4,12,13,14,15,16,17,19,20,2810.80079943578,712084.719438452
1,2,4,6,7,9,14,15,16,21,180221.825488042,389807.031945143
1,3,4,6,11,14,17,18,19,20,127376.668192499,Inf
1,4,6,7,11,12,13,14,16,18,231831.703282354,353574.480163623
2,5,7,10,12,14,15,17,19,21,276525.806212769,246734.884821659
3,7,10,11,12,13,16,17,18,21,223239.808465945,329176.258953168
2,8,9,10,12,14,15,17,19,20,116445.665456831,385366.806688076
1,2,3,4,5,7,11,13,14,21,205882.391819149,280359.513089917
3,5,6,7,12,14,15,16,17,21,219241.271633644,322746.09907325
1,2,6,7,8,9,11,12,20,21,164572.603309268,406238.744536807
3,6,7,8,9,11,13,14,18,20,180333.457889373,388927.294566222
1,4,5,7,8,15,17,18,20,21,179931.002997219,331857.743672835
