V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse,bestlam_numpred
1,2,3,5,9,10,11,12,16,18,20,1449.64842091136,4095.24182925875,1
1,4,9,11,12,13,14,15,17,19,22,2203.97503635533,2453.6870586279,1
3,4,6,7,9,17,18,19,20,21,22,1076.71120954322,3829.37626944332,1
1,3,4,7,9,11,12,15,16,19,21,1495.93526279854,3240.5838458379,2
2,3,4,5,7,8,11,13,16,17,21,112.173006960501,5238.64357468604,7
1,2,4,5,9,10,14,15,18,20,21,2555.15569835927,3403.34877014552,1
1,3,6,8,10,13,14,16,17,18,19,1028.33306400305,3936.36424061275,2
2,3,4,7,12,14,15,19,20,21,22,2065.20004042955,2868.68925967877,1
1,2,3,4,8,10,13,14,15,16,19,1791.95220828738,4112.31478563825,0
1,2,3,4,6,8,9,13,15,17,22,2399.96113192383,2036.84862459498,0
6,7,11,12,13,14,15,17,18,19,22,1572.60928394168,4185.28911244833,1
2,3,6,7,10,11,12,15,17,18,21,2079.26915893815,3270.22503875715,1
1,3,4,6,7,11,16,18,19,20,21,881.443560968388,3966.86840139356,2
1,2,4,8,10,11,12,13,16,18,20,1871.68142229785,2984.91321175023,1
1,5,7,9,10,13,14,16,19,21,22,874.915455078482,4488.05804874263,0
1,2,7,8,9,10,12,13,15,18,19,1104.27271610271,7271.32237354277,2
1,2,3,8,13,15,16,18,19,20,21,1056.16049319704,3600.22583145272,2
2,3,6,8,9,12,13,14,19,20,22,2312.43228511389,2699.68628367886,0
2,4,7,8,11,14,17,18,20,21,22,1843.63508879536,3356.90727391772,0
2,3,5,6,11,12,13,14,16,18,22,673.7608655798,4705.93147827357,0
4,6,9,10,13,14,15,19,20,21,22,2310.89524146651,2757.8256168593,1
6,7,9,10,11,12,13,14,15,16,20,1359.55255136479,3589.17692818707,1
3,4,6,7,9,11,13,16,19,20,22,1303.26246789003,3529.54141154609,1
2,3,4,7,10,14,15,16,17,18,20,726.939149429624,3929.60256758797,4
1,9,10,11,13,15,16,17,18,21,22,1494.53080794634,3091.29366400989,0
3,5,6,8,9,13,14,16,17,21,22,1048.60611906925,4699.26779255533,1
1,2,3,5,7,10,13,17,20,21,22,1149.0060017504,3362.05341706941,2
1,2,3,4,6,11,13,16,18,19,20,1779.715622156,3233.75566133506,0
3,5,7,10,11,15,16,17,18,19,21,1268.17563304134,3947.28233473816,0
1,3,9,10,11,12,13,14,15,18,19,2463.33804278649,2176.97840107253,0
1,5,6,8,10,11,13,15,17,20,22,26.1284838933235,5942.10449300397,9
2,3,4,5,6,7,8,12,13,14,22,2304.93867553843,3674.34917801134,1
1,3,4,7,9,11,12,17,18,21,22,1788.85502729692,3417.24511341999,1
1,3,4,6,7,8,9,12,18,20,22,2007.17155635023,3560.34011824301,0
2,3,4,5,7,8,10,16,17,20,21,1579.04444026977,4163.43641040962,0
1,3,5,7,8,9,12,15,16,18,22,1464.38691353528,4013.22929867976,1
