V1,V2,V3,V4,V5,V6,pred1,pred2,pred3,pred4,pred5
1,2,4,5,10,11,wy2_Mean_Ann_Flow,s2_SP_ROC,w1_Wet_BFL_Mag_10,d1_DS_Dur_WS,d1_DS_Mag_50
1,2,4,5,10,12,wy2_Mean_Ann_Flow,d1_DS_Tim,s2_SP_Mag,d2_DS_Mag_90,f1_recon_120
1,2,4,5,10,13,w1_Wet_BFL_Mag_10,d2_DS_Mag_50,f2_recon_120,d1_DS_Dur_WS,s2_discon_120
1,2,4,5,11,12,d1_DS_Tim,d2_DS_Mag_90,s2_SP_Mag,s2_SP_ROC,f1_recon_120
1,2,4,5,11,13,d1_DS_Dur_WS,d1_DS_Tim,f1_recon_120,w1_Wet_BFL_Mag_10,f2_FA_Dif_num
1,2,4,5,12,13,d1_DS_Tim,f1_recon_120,f2_FA_Dif_num,f2_recon_120,s2_SP_Mag
1,2,4,6,7,8,s1_SP_Tim,d1_DS_Dur_WS,w2_Wet_Tim,s2_SP_ROC_Max,s1_discon_120
1,2,4,6,7,9,d2_DS_Mag_90,f1_FA_Dif_num,d1_DS_Dur_WS,s1_discon_20,s1_discon_120
1,2,4,6,7,10,wy2_WY_Cat,s2_SP_ROC,w1_num_days_gt_90_pctile,f2_recon_120,s1_SP_ROC
1,2,4,6,7,11,s2_SP_ROC,d1_DS_Dur_WS,d2_DS_Mag_90,f1_recon_120,s1_discon_120
1,2,4,6,7,12,d2_DS_Mag_90,d1_DS_Dur_WS,d1_DS_Mag_90,s2_SP_ROC_Max,s1_SP_ROC
1,2,4,6,7,13,d1_DS_Dur_WS,f2_FA_Dif_num,f1_recon_120,w1_Wet_BFL_Mag_50,s2_SP_ROC
1,2,4,6,8,9,f1_recon_120,f1_FA_Dif_num,d2_DS_Mag_90,s2_SP_ROC,d2_DS_Tim
1,2,4,6,8,10,f1_recon_120,s2_SP_ROC,s1_SP_ROC,d2_DS_Mag_90,w2_Wet_Tim
1,2,4,6,8,11,s2_SP_ROC,f1_recon_120,d1_DS_Dur_WS,s1_SP_Tim,d2_DS_Mag_90
1,2,4,6,8,12,f1_recon_120,w2_Wet_BFL_Mag_10,d2_DS_Mag_90,s1_SP_ROC,f2_recon_20
1,2,4,6,8,13,f1_recon_120,s1_SP_Tim,d1_DS_Dur_WS,s2_SP_ROC,f2_recon_120
1,2,4,6,9,10,s2_SP_ROC,d2_DS_Mag_90,f1_FA_Dif_num,w2_Wet_BFL_Dur,s2_SP_Mag
1,2,4,6,9,11,s2_SP_ROC,d1_DS_Dur_WS,f1_FA_Dif_num,d2_DS_Mag_90,d2_DS_Mag_50
1,2,4,6,9,12,s1_SP_ROC,d2_DS_Mag_90,s2_SP_Mag,f1_recon_120,w1_num_days_gt_90_pctile
1,2,4,6,9,13,d1_DS_Dur_WS,d1_DS_Tim,f2_recon_120,f2_FA_Dif_num,f1_FA_Dif_num
1,2,4,6,10,11,s2_SP_ROC,w1_Wet_BFL_Mag_50,wy1_WY_Cat,s1_SP_ROC,wy2_WY_Cat
