V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
5,7,8,9,10,12,14,15,18,21,15821.8192528298,490810.153501926
3,4,6,10,13,15,18,19,20,21,4505.72955101225,532880.303161819
1,3,7,8,9,12,14,19,20,21,258163.093039331,341124.563811396
1,2,3,4,5,15,17,18,19,20,264483.883676149,375210.987612428
4,5,6,10,11,12,13,17,18,19,250131.410688301,378716.595037783
1,4,8,9,14,15,16,17,18,19,252536.860813254,365363.238125675
3,5,6,8,9,12,14,16,19,20,223973.55727384,373984.187217965
1,6,9,12,13,15,16,17,20,21,210997.258915345,390493.732468633
1,5,7,9,12,13,16,18,20,21,226234.57703749,393994.220001914
2,4,7,8,12,14,16,18,19,21,163653.329131581,382520.751260525
3,5,6,11,13,14,15,16,18,20,191659.72561304,390358.799879993
3,4,6,8,9,12,17,18,19,20,132392.294849253,414523.553405195
1,2,4,10,13,16,17,18,20,21,139086.348824948,405483.393943317
6,7,8,11,12,14,15,16,18,21,132601.501909695,421145.436634801
2,5,6,9,12,13,14,17,20,21,143229.9116412,405388.9021306
3,4,5,6,10,12,14,16,18,21,161717.555449918,416658.654876021
3,7,8,10,11,13,14,17,20,21,187068.012819882,416108.758467478
3,5,8,10,11,15,16,17,20,21,247618.530865036,348537.04763655
1,3,4,6,7,10,12,14,19,20,239509.08669756,351972.719588419
1,3,4,5,10,12,14,17,20,21,192901.176092716,334060.862844584
1,3,4,5,12,13,14,17,18,20,235522.336461374,344520.759639895
3,9,10,11,12,15,16,17,19,20,262648.408597798,376180.838031217
4,6,8,9,10,12,15,17,18,20,283012.923282092,369996.119554249
5,7,8,9,13,14,15,16,17,19,199716.099511842,376367.408647411
1,2,4,5,6,9,10,13,14,15,271729.510508348,373467.100837733
3,4,6,7,8,9,13,14,15,18,234414.246173542,379974.523649959
1,2,3,7,9,10,11,13,15,17,245211.462534823,376728.009696227
1,2,5,9,11,12,15,17,20,21,183210.68971022,389344.423229517
1,3,5,7,8,10,11,13,18,19,150469.723042355,383339.015334469
2,3,5,6,8,12,13,15,17,18,201895.006206061,391327.688426148
2,3,7,9,10,12,15,16,18,21,247995.722261067,389102.843604726
3,4,5,7,9,14,17,18,19,21,167741.993933801,393802.023894703
2,3,7,9,10,12,15,16,17,21,157706.424222802,392615.992754054
4,6,7,8,10,16,17,18,20,21,182378.968434952,406337.778677615
1,4,8,10,11,12,13,16,17,20,8825.46463498819,559900.932378256
1,2,3,9,10,11,15,18,20,21,182622.841054091,416931.274965591
3,4,5,6,7,13,16,18,19,21,4224.67533635802,585841.86732394
2,4,5,11,13,14,17,18,20,21,263035.368121188,367777.609267395
1,2,4,5,6,8,10,13,20,21,249871.01369492,383379.017313605
2,3,5,10,12,14,17,18,19,21,141179.004090874,401256.758868826
1,3,4,7,10,11,17,18,20,21,140818.990439005,405400.351899575
2,4,5,8,9,14,16,19,20,21,122644.827136284,401214.186838886
4,7,8,11,14,15,16,18,19,20,143523.70400931,405890.49396644
1,3,10,11,13,14,15,17,19,20,287873.113075039,340464.590877833
3,5,6,8,12,14,15,16,18,20,246567.979597648,364554.463442919
1,2,4,7,9,12,15,18,20,21,257893.77838863,368874.479701169
2,4,5,6,10,15,16,17,20,21,276125.209034792,362441.584752828
1,2,4,10,11,12,15,16,17,19,120546.910109148,368954.585646313
2,4,7,11,12,13,15,16,19,21,180524.633292911,379383.782507083
5,9,10,13,15,16,17,18,20,21,247888.132211879,383247.962727289
1,2,8,10,11,12,14,17,20,21,262325.678727899,378419.297672944
1,2,4,6,8,9,10,14,16,18,233666.862849973,384250.881256001
3,8,9,10,13,15,17,19,20,21,4573.35336225774,634936.894530113
2,4,7,8,9,10,14,15,20,21,154213.618696499,393874.247217941
1,3,7,13,14,15,16,18,19,20,29033.2202423044,493600.194423186
2,5,12,15,16,17,18,19,20,21,157187.13687237,399113.823918197
2,3,4,8,13,16,17,18,19,20,6686.29232148874,517235.059846032
1,2,5,7,12,13,15,18,20,21,107215.01560416,403253.713367904
1,5,7,9,13,16,17,18,20,21,207350.472334253,326189.484940872
3,4,5,8,10,11,17,18,19,20,281264.92291039,357928.729227937
1,6,7,8,10,13,15,16,17,19,265177.012137204,361866.109451638
5,6,10,11,12,14,15,16,17,19,282631.726622038,350591.016598636
1,3,4,8,12,13,14,19,20,21,258977.322902069,358750.883316735
1,3,4,6,7,9,10,16,17,18,275812.309372953,373434.429443985
1,2,3,4,9,10,11,16,18,19,246059.844806883,377346.651267515
6,7,8,10,11,12,14,17,18,20,228447.487146655,367945.808925908
1,2,7,11,12,14,18,19,20,21,237789.586722369,375308.199551305
2,3,5,6,7,8,10,13,19,21,135425.143357761,392664.676175771
1,5,6,8,9,14,15,16,20,21,133890.02804696,389574.55968884
5,7,10,11,12,14,15,17,18,21,112603.864798353,395168.762211604
2,4,5,7,9,10,12,13,15,18,152989.814086308,395053.29046239
3,4,7,9,10,11,13,16,17,20,169631.602883524,399459.505396938
3,4,5,10,11,13,14,15,18,19,112782.014971709,399517.710462034
