V1,V2,V3,V4,V5,V6,bestlam,rmse
1,2,5,9,11,12,27.7297573541657,38.9127856390495
1,2,5,9,11,13,6.31285094867707,322.961711229605
1,2,5,9,12,13,26.6569117157675,39.3585005887423
1,2,5,10,11,12,0.802025110677146,54.5467540785743
1,2,5,10,11,13,4.61931389727732,50.8661171960826
1,2,5,10,12,13,19.9011824151227,39.9158725210862
1,2,5,11,12,13,28.3653862009112,40.3217101844098
1,2,6,7,8,9,32.3960586272856,35.144044400565
1,2,6,7,8,10,4.9060320716133,42.8261186610052
1,2,6,7,8,11,32.9466790828525,35.9393599580115
1,2,6,7,8,12,15.6755114897126,34.4638666320197
1,2,6,7,8,13,13.8215238295228,41.7964499674355
1,2,6,7,9,10,29.2767618221747,32.4124457340315
1,2,6,7,9,11,14.3198002974534,45.2665063729218
1,2,6,7,9,12,12.6339497012496,36.9397266375877
1,2,6,7,9,13,29.6375903297747,34.604868070714
1,2,6,7,10,11,31.914853924982,35.660949985189
1,2,6,7,10,12,35.8372794272415,32.383239729598
1,2,6,7,10,13,27.7799926382316,33.3982422384081
1,2,6,7,11,12,31.496828921834,33.9581696576717
1,2,6,7,11,13,0.747434039132179,60.2154071557419
1,2,6,7,12,13,34.704346388589,34.2350275401531
1,2,6,8,9,10,3.51399558495862,50.5180354048945
1,2,6,8,9,11,26.7956331595528,40.9451862732031
1,2,6,8,9,12,21.7688768860164,39.389763799886
1,2,6,8,9,13,24.9711431537891,38.7447710846275
1,2,6,8,10,11,23.0048338198941,41.222764815479
1,2,6,8,10,12,25.846178835491,35.2712594532584
1,2,6,8,10,13,0.587095753881695,135.528868645821
