pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc
BY_recon_10,BY_recon_50,6.37,0.00336,0.614,0.518,110.5
BY_recon_15,BY_recon_50,3.60,0.00520,0.474,0.342,113.9
BY_recon_20,BY_recon_50,1.65,0.01184,0.292,0.114,117.2
BY_recon_80,BY_recon_50,0.20,0.07213,0.049,-0.189,120.4
BY_recon_100,BY_recon_50,3.16,0.00242,0.441,0.301,114.6
RY_discon_10,BY_recon_50,1.62,0.25430,0.288,0.110,117.2
RY_discon_15,BY_recon_50,1.08,0.45170,0.212,0.015,118.4
RY_discon_20,BY_recon_50,0.85,0.55859,0.176,-0.031,118.9
RY_discon_50,BY_recon_50,0.75,0.63679,0.157,-0.053,119.1
RY_discon_80,BY_recon_50,0.71,0.63119,0.150,-0.062,119.2
RY_discon_100,BY_recon_50,0.69,0.63938,0.148,-0.066,119.2
RY_recon_10,BY_recon_50,0.76,0.01355,0.160,-0.051,119.1
RY_recon_15,BY_recon_50,0.74,0.01588,0.155,-0.056,119.1
RY_recon_20,BY_recon_50,0.61,0.02210,0.132,-0.085,119.4
RY_recon_50,BY_recon_50,0.50,0.03187,0.110,-0.112,119.7
RY_recon_80,BY_recon_50,0.21,0.10638,0.050,-0.187,120.4
RY_recon_100,BY_recon_50,0.50,0.16642,0.110,-0.112,119.7
SY_discon_80,BY_recon_50,0.27,0.91851,0.062,-0.172,120.3
SY_discon_100,BY_recon_50,0.25,0.86597,0.060,-0.175,120.3
BY_min_flow_sepdec,BY_recon_50,0.32,0.32581,0.073,-0.158,120.1
RY_min_flow,BY_recon_50,0.71,0.04491,0.151,-0.061,119.2
SY_min_flow_janjul,BY_recon_50,0.22,0.02157,0.053,-0.184,120.4
tot_flow_CFLP,BY_recon_50,0.21,0.14645,0.050,-0.187,120.4
BY_tot_flow_sepdec,BY_recon_50,1.16,0.09687,0.224,0.030,118.2
RY_tot_flow,BY_recon_50,0.26,0.07573,0.062,-0.173,120.3
SY_tot_flow_janjul,BY_recon_50,0.44,0.03251,0.100,-0.125,119.8
log_tot_flow_CFLP,BY_recon_50,0.21,0.96430,0.049,-0.189,120.4
