pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc,loocv,n
BY_recon_100,RY_Wet_BFL_Mag_50,3.139818805,0.007855902,0.439761693,0.299702116,114.6118204,1135,11
RY_Wet_BFL_Dur,RY_DS_Tim,3.425395822,0.523741174,0.461308179,0.326635223,114.1804159,1139,11
BY_recon_10,BY_recon_80,5.203970887,0.017607678,0.56540497,0.456756213,111.8183967,1142,11
BY_recon_15,RY_tot_flow,3.228898105,0.007884411,0.446665323,0.308331653,114.475429,1146,11
RY_discon_50,RY_Wet_Tim,2.747493921,0.884045141,0.407187313,0.258984142,115.233499,1148,11
BY_recon_10,RY_recon_15,5.229432797,0.000155508,0.566603919,0.458254899,111.7880083,1150,11
BY_recon_15,RY_recon_10,3.629433938,0.000335863,0.475714708,0.344643385,113.8822316,1152,11
SY_tot_flow_janjul,RY_Wet_Tim,3.971194182,0.002790994,0.49819313,0.372741413,113.4002043,1152,11
BY_recon_100,RY_recon_100,3.212492078,0.021509975,0.44540667,0.306758337,114.5004219,1155,11
BY_recon_100,RY_min_flow,3.292119921,0.005202292,0.451462669,0.314328336,114.3796445,1158,11
BY_recon_15,BY_FA_Tim,3.713447527,0.016567236,0.649948653,0.47492298,78.92591925,1159,7
BY_recon_100,RY_recon_50,3.719268412,0.001804916,0.481816179,0.352270224,113.7534663,1159,11
BY_recon_100,RY_DS_Mag_50,3.60608692,0.010335463,0.474105405,0.342631756,113.9159446,1161,11
RY_discon_50,RY_Wet_BFL_Dur,2.998294755,0.918328015,0.428432191,0.285540239,114.8320502,1161,11
SY_tot_flow_janjul,RY_FA_Mag,3.035595751,0.35514426,0.60282753,0.404241296,80.53354364,1164,7
BY_min_flow_sepdec,RY_Wet_Tim,2.513516034,0.008877519,0.385892354,0.232365442,115.6217083,1169,11
BY_recon_100,RY_tot_flow,3.267919371,0.006515661,0.449636162,0.312045202,114.4162112,1173,11
BY_recon_15,RY_discon_100,3.501701246,0.829394825,0.466787617,0.333484521,114.0679537,1175,11
BY_recon_15,RY_discon_20,3.805281614,0.72126805,0.487526498,0.359408123,113.6315748,1176,11
BY_recon_10,RY_recon_10,5.088824358,0.000114094,0.559899076,0.449873845,111.9568806,1178,11
BY_recon_15,RY_DS_Dur_WS,2.821403554,0.109407845,0.413610415,0.267013019,115.113664,1178,11
BY_recon_15,log_RY_tot_flow,3.023385303,0.773628768,0.430474077,0.288092596,114.7926831,1181,11
BY_recon_20,BY_tot_flow_sepdec,2.505050517,0.0188557,0.385093169,0.231366461,115.6360141,1184,11
RY_Wet_BFL_Dur,RY_DS_Mag_50,3.033598995,0.818271342,0.431301102,0.289126377,114.7766981,1186,11
RY_recon_50,RY_Wet_BFL_Dur,2.994536796,0.817404391,0.428125104,0.285156381,114.8379586,1188,11
BY_FA_Mag,RY_DS_Mag_90,5.650906816,0.051110838,0.738593078,0.607889617,76.88190828,1188,7
RY_recon_100,RY_Wet_BFL_Dur,3.203902084,0.648941562,0.444745368,0.30593171,114.5135306,1189,11
BY_recon_100,SY_discon_100,3.074584238,0.363632629,0.434595749,0.293244687,114.7127864,1196,11
RY_min_flow,RY_DS_Mag_90,2.254554404,0.005023599,0.360466031,0.200582539,116.0679729,1197,11
BY_recon_100,SY_discon_80,3.071162195,0.407336315,0.434322126,0.292902657,114.7181084,1198,11
RY_min_flow,RY_Wet_Tim,2.271044296,0.014617764,0.362147704,0.20268463,116.03901,1201,11
BY_recon_50,BY_recon_100,3.156266995,0.00242261,0.441049362,0.301311703,114.5865086,1204,11
BY_recon_100,RY_DS_Dur_WS,3.378409828,0.077985349,0.457877769,0.322347211,114.2502422,1207,11
BY_recon_15,SY_SP_ROC,6.324746246,0.627486605,0.612581278,0.515726597,110.5544026,1212,11
RY_Wet_Tim,RY_Wet_BFL_Mag_50,1.990974602,0.017747528,0.332329001,0.165411251,116.5415867,1214,11
BY_recon_10,RY_FA_Tim,2.255940435,0.060484562,0.530068611,0.295102917,81.71105624,1215,7
RY_discon_80,RY_Wet_BFL_Dur,3.08758651,0.766776998,0.435632991,0.294541239,114.6925882,1217,11
RY_recon_10,RY_Wet_BFL_Dur,2.984125715,0.840494638,0.427272623,0.284090779,114.8543438,1217,11
RY_discon_100,RY_Wet_BFL_Dur,3.153108231,0.700145567,0.440802534,0.301003167,114.591365,1221,11
